"X","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
1,"6/22/2007","Evan Almighty",175000000,100289690,174131329,"Universal","PG","Comedy"
2,"7/28/1995","Waterworld",175000000,88246220,264246220,"Universal","PG-13","Action"
3,"5/12/2017","King Arthur: Legend of the Sword",175000000,39175066,139950708,"Warner Bros.","PG-13","Adventure"
4,"12/25/2013","47 Ronin",175000000,38362475,151716815,"Universal","PG-13","Action"
5,"6/22/2018","Jurassic World: Fallen Kingdom",170000000,416769345,1304866322,"Universal","PG-13","Action"
6,"8/1/2014","Guardians of the Galaxy",170000000,333172112,771051335,"Walt Disney","PG-13","Action"
7,"5/7/2010","Iron Man 2",170000000,312433331,621156389,"Paramount Pictures","PG-13","Action"
8,"4/4/2014","Captain America: The Winter Soldier",170000000,259746958,714401889,"Walt Disney","PG-13","Action"
9,"7/11/2014","Dawn of the Planet of the Apes",170000000,208545589,710644566,"20th Century Fox","PG-13","Adventure"
10,"11/10/2004","The Polar Express",170000000,186493587,310634169,"Warner Bros.","G","Adventure"
11,"6/1/2012","Snow White and the Huntsman",170000000,155136755,401021746,"Universal","PG-13","Adventure"
12,"7/1/2003","Terminator 3: Rise of the Machines",170000000,150358296,433058296,"Warner Bros.","R","Action"
13,"5/7/2004","Van Helsing",170000000,120150546,300150546,"Universal","PG-13","Action"
14,"5/22/2015","Tomorrowland",170000000,93436322,207283457,"Walt Disney","PG","Adventure"
15,"5/27/2016","Alice Through the Looking Glass",170000000,77042381,276934087,"Walt Disney","PG","Adventure"
16,"5/21/2010","Shrek Forever After",165000000,238736787,756244673,"Paramount Pictures","PG","Adventure"
17,"11/4/2016","Doctor Strange",165000000,232641920,676486457,"Walt Disney","PG-13","Action"
18,"11/7/2014","Big Hero 6",165000000,222527828,652127828,"Walt Disney","PG","Adventure"
19,"3/26/2010","How to Train Your Dragon",165000000,217581232,494870992,"Paramount Pictures","PG","Adventure"
20,"11/2/2012","Wreck-It Ralph",165000000,189412677,496511521,"Walt Disney","PG","Adventure"
21,"11/5/2014","Interstellar",165000000,188017894,667752422,"Paramount Pictures","PG-13","Adventure"
22,"6/24/2016","Independence Day: Resurgence",165000000,103144286,384413934,"20th Century Fox","PG-13","Action"
23,"7/29/2011","Cowboys and Aliens",163000000,100368560,176038324,"Universal","PG-13","Action"
24,"5/17/2007","Shrek the Third",160000000,322719944,807330936,"Paramount Pictures","PG","Adventure"
25,"5/24/2013","Fast and Furious 6",160000000,238679850,789300444,"Universal","PG-13","Action"
26,"6/3/2011","X-Men: First Class",160000000,146408305,355408305,"20th Century Fox","PG-13","Action"
27,"12/25/2008","The Curious Case of Benjamin Button",160000000,127509326,329631958,"Paramount Pictures","PG-13","Drama"
28,"7/14/2010","The Sorcerer's Apprentice",160000000,63150991,217986320,"Walt Disney","PG","Adventure"
29,"5/12/2006","Poseidon",160000000,60674817,181674817,"Warner Bros.","PG-13","Adventure"
30,"6/10/2016","Warcraft",160000000,47225655,425547111,"Universal","PG-13","Action"
31,"12/21/2018","Aquaman",160000000,0,0,"Warner Bros.","PG-13","Action"
32,"9/30/2016","Deepwater Horizon",156000000,61433527,122631306,"Lionsgate","PG-13","Drama"
33,"7/1/2015","Terminator: Genisys",155000000,89760956,432150894,"Paramount Pictures","PG-13","Action"
34,"3/23/2018","Pacific Rim: Uprising",155000000,59185715,290241338,"Universal","PG-13","Action"
35,"11/24/2004","Alexander",155000000,34297191,167297191,"Warner Bros.","R","Action"
36,"7/14/2017","War for the Planet of the Apes",152000000,146880162,489592267,"20th Century Fox","PG-13","Action"
37,"5/25/2001","Pearl Harbor",151500000,198539855,449239855,"Walt Disney","PG-13","Action"
38,"7/2/2007","Transformers",151000000,319246193,708272592,"Paramount Pictures","PG-13","Action"
39,"6/2/2017","Wonder Woman",150000000,412563408,821133378,"Warner Bros.","PG-13","Action"
40,"3/4/2016","Zootopia",150000000,341268248,1019706594,"Walt Disney","PG","Adventure"
41,"11/18/2005","Harry Potter and the Goblet of Fire",150000000,290013036,896911078,"Warner Bros.","PG-13","Adventure"
42,"5/15/2003","The Matrix Reloaded",150000000,281553689,738576929,"Warner Bros.","R","Action"
43,"12/14/2007","I am Legend",150000000,256393010,585532684,"Warner Bros.","PG-13","Horror"
44,"7/1/2008","Hancock",150000000,227946274,624234272,"Sony Pictures","PG-13","Action"
45,"7/15/2005","Charlie and the Chocolate Factory",150000000,206459076,475825484,"Warner Bros.","PG","Adventure"
46,"6/29/2007","Ratatouille",150000000,206445654,626549695,"Walt Disney","G","Adventure"
47,"11/8/2013","Thor: The Dark World",150000000,206362140,644602516,"Walt Disney","PG-13","Action"
48,"6/15/2005","Batman Begins",150000000,205343774,359142722,"Warner Bros.","PG-13","Action"
49,"7/31/2015","Mission: Impossible—Rogue Nation",150000000,195042377,689388363,"Paramount Pictures","PG-13","Action"
50,"7/21/2017","Dunkirk",150000000,190068280,499900860,"Warner Bros.","PG-13","Action"
51,"5/6/2011","Thor",150000000,181030624,449326618,"Paramount Pictures","PG-13","Action"
52,"11/7/2008","Madagascar: Escape 2 Africa",150000000,180174880,599680774,"Paramount Pictures","PG","Adventure"
53,"5/1/2009","X-Men Origins: Wolverine",150000000,179883157,374825760,"20th Century Fox","PG-13","Action"
54,"5/26/2011","Kung Fu Panda 2",150000000,165249063,664837547,"Paramount Pictures","PG","Adventure"
55,"5/15/2015","Mad Max: Fury Road",150000000,153636354,370651733,"Warner Bros.","R","Action"
56,"8/10/2018","The Meg",150000000,142700791,527100791,"Warner Bros.","PG-13","Action"
57,"11/5/2003","The Matrix Revolutions",150000000,139270910,427300260,"Warner Bros.","R","Action"
58,"3/29/2018","Ready Player One",150000000,137018455,578621729,"Warner Bros.","PG-13","Adventure"
59,"5/5/2006","Mission: Impossible III",150000000,133501348,397501348,"Paramount Pictures","PG-13","Action"
60,"5/14/2004","Troy",150000000,133298577,484161265,"Warner Bros.","R","Action"
61,"7/1/2010","The Last Airbender",150000000,131772187,319713881,"Paramount Pictures","PG","Adventure"
62,"11/2/2007","Bee Movie",150000000,126631277,287594577,"Paramount Pictures","PG","Adventure"
63,"7/24/2009","G-Force",150000000,119436770,292817841,"Walt Disney","PG","Adventure"
64,"11/21/2008","Bolt",150000000,114053579,328015029,"Walt Disney","PG","Adventure"
65,"3/30/2012","Wrath of the Titans",150000000,83670083,305270083,"Warner Bros.","PG-13","Adventure"
66,"11/16/2007","Beowulf",150000000,82280579,195080579,"Paramount Pictures","PG-13","Adventure"
67,"2/12/2010","The Wolfman",150000000,62189884,142634358,"Universal","R","Horror"
68,"2/17/2017","The Great Wall",150000000,45157105,334550106,"Universal","PG-13","Action"
69,"10/9/2015","Pan",150000000,35088320,151543635,"Warner Bros.","PG","Adventure"
70,"3/11/2011","Mars Needs Moms",150000000,21392758,39549758,"Walt Disney","PG","Adventure"
71,"11/3/2006","Flushed Away",149000000,64665672,179357126,"Paramount Pictures","PG","Adventure"
72,"6/8/2012","Madagascar 3: Europe's Most Wanted",145000000,216391482,746921271,"Paramount Pictures","PG","Adventure"
73,"6/13/2014","How to Train Your Dragon 2",145000000,177002924,614586270,"20th Century Fox","PG","Adventure"
74,"6/16/1999","Tarzan",145000000,171091819,448191819,"Walt Disney","G","Adventure"
75,"3/7/2014","Mr. Peabody & Sherman",145000000,111506430,269806430,"20th Century Fox","PG","Adventure"
76,"11/21/2012","Rise of the Guardians",145000000,103412758,306900902,"Paramount Pictures","PG","Adventure"
77,"11/22/2002","Die Another Day",142000000,160942139,431942139,"MGM","PG-13","Action"
78,"5/8/2009","Star Trek",140000000,257730019,385680446,"Paramount Pictures","PG-13","Adventure"
79,"7/1/1998","Armageddon",140000000,201578182,554600000,"Walt Disney","PG-13","Adventure"
80,"7/3/2002","Men in Black 2",140000000,190418803,441767803,"Sony Pictures","PG-13","Action"
81,"7/22/2011","Captain America: The First Avenger",140000000,176654505,370569776,"Paramount Pictures","PG-13","Action"
82,"1/29/2016","Kung Fu Panda 3",140000000,143528619,518418751,"20th Century Fox","PG","Adventure"
83,"7/10/1998","Lethal Weapon 4",140000000,130444603,285400000,"Warner Bros.","R","Action"
84,"3/27/2013","G.I. Joe: Retaliation",140000000,122523060,375740705,"Paramount Pictures","PG-13","Action"
85,"12/5/2003","The Last Samurai",140000000,111110575,456810575,"Warner Bros.","R","Action"
86,"12/21/2005","Fun With Dick And Jane",140000000,110550000,203018919,"Sony Pictures","PG-13","Comedy"
87,"12/12/2014","Exodus: Gods and Kings",140000000,65014513,268314513,"20th Century Fox","PG-13","Drama"
88,"7/1/2016","The BFG",140000000,55483770,199676255,"Walt Disney","PG","Adventure"
89,"2/26/2016","Gods of Egypt",140000000,31153464,138587563,"Lionsgate","PG-13","Adventure"
90,"5/3/2002","Spider-Man",139000000,403706375,821706375,"Sony Pictures","PG-13","Adventure"
91,"3/6/2009","Watchmen",138000000,107509799,186976250,"Warner Bros.","R","Action"
92,"7/29/2005","Stealth",138000000,32116746,76416746,"Sony Pictures","PG-13","Action"
93,"6/13/2008","The Incredible Hulk",137500000,134806913,265573859,"Universal","PG-13","Adventure"
94,"6/20/2003","Hulk",137000000,132177234,245075434,"Universal","PG-13","Action"
95,"7/11/2001","Final Fantasy: The Spirits Within",137000000,32131830,85131830,"Sony Pictures","PG-13","Adventure"
96,"3/22/2013","The Croods",135000000,187168425,573068425,"20th Century Fox","PG","Adventure"
97,"12/25/2015","The Revenant",135000000,183637894,532950503,"20th Century Fox","R","Adventure"
98,"11/19/1999","The World is Not Enough",135000000,126930660,361730660,"MGM","PG-13","Action"
99,"3/4/2011","Rango",135000000,123477607,245724600,"Paramount Pictures","PG","Adventure"
100,"7/17/2013","Turbo",135000000,83028130,286896578,"20th Century Fox","PG","Adventure"
101,"11/18/2011","Happy Feet Two",135000000,64006466,157956466,"Warner Bros.","PG","Adventure"
102,"7/28/2006","Miami Vice",135000000,63478838,163818556,"Universal","R","Action"
103,"6/29/2005","War of the Worlds",132000000,234280354,606836535,"Paramount Pictures","PG-13","Action"
104,"11/26/2014","Penguins of Madagascar",132000000,83350911,367650911,"20th Century Fox","PG","Adventure"
105,"11/22/2013","The Hunger Games: Catching Fire",130000000,424668047,864868047,"Lionsgate","PG-13","Adventure"
106,"7/6/2018","Ant-Man and the Wasp",130000000,216565229,617176819,"Walt Disney","PG-13","Action"
107,"6/6/2008","Kung Fu Panda",130000000,215434591,631910531,"Paramount Pictures","PG","Adventure"
108,"7/17/2015","Ant-Man",130000000,180202163,518860086,"Walt Disney","PG-13","Action"
109,"3/27/2015","Home",130000000,177397510,386031994,"20th Century Fox","PG","Adventure"
110,"10/28/2011","Puss in Boots",130000000,149260504,554987477,"Paramount Pictures","PG","Adventure"
111,"11/5/2010","Megamind",130000000,148415853,321887208,"Paramount Pictures","PG","Adventure"
112,"7/18/2003","Bad Boys II",130000000,138540870,273271982,"Sony Pictures","R","Action"
113,"4/11/2014","Rio 2",130000000,131538435,492846291,"20th Century Fox","G","Adventure"
114,"3/28/2014","Noah",130000000,101200044,352831065,"Paramount Pictures","PG-13","Drama"
115,"12/21/2011","The Adventures of Tintin",130000000,77591831,373993951,"Paramount Pictures","PG","Adventure"
116,"5/31/2013","After Earth",130000000,60522097,251499665,"Sony Pictures","PG-13","Action"
117,"11/26/2008","Australia",130000000,49554002,215080810,"20th Century Fox","PG-13","Drama"
118,"7/19/2013","R.I.P.D.",130000000,33618855,79076678,"Universal","PG-13","Action"
119,"5/19/2000","Dinosaur",127500000,137748063,356148063,"Walt Disney","PG","Adventure"
120,"3/3/2017","Logan",127000000,226277068,615476965,"20th Century Fox","R","Action"
121,"5/2/2003","X-Men 2",125000000,214949694,406875536,"20th Century Fox","PG-13","Action"
122,"4/29/2011","Fast Five",125000000,210031325,630163454,"Universal","PG-13","Action"
123,"12/16/2011","Sherlock Holmes: A Game of Shadows",125000000,186848418,535663443,"Warner Bros.","PG-13","Action"
124,"5/28/2004","The Day After Tomorrow",125000000,186740799,556319450,"20th Century Fox","PG-13","Adventure"
125,"3/31/2017","The Boss Baby",125000000,175003033,510888357,"20th Century Fox","PG","Adventure"
126,"4/1/2010","Clash of the Titans",125000000,163214888,493214888,"Warner Bros.","PG-13","Action"
127,"11/4/2016","Trolls",125000000,153707064,344527425,"20th Century Fox","PG","Adventure"
128,"5/19/1998","Godzilla",125000000,136314294,376000000,"Sony Pictures","PG-13","Action"
129,"6/8/2012","Prometheus",125000000,126477084,402448265,"20th Century Fox","R","Adventure"
130,"6/20/1997","Batman & Robin",125000000,107325195,238317814,"Warner Bros.","PG-13","Action"
131,"7/13/2018","Skyscraper",125000000,67796355,304034615,"Universal","PG","Action"
132,"12/21/2016","Assassin’s Creed",125000000,54647948,240497948,"20th Century Fox","PG-13","Action"
133,"1/13/2017","Monster Trucks",125000000,33370166,61642798,"Paramount Pictures","PG-13","Adventure"
134,"8/27/1999","The 13th Warrior",125000000,32698899,61698899,"Walt Disney","R","Action"
135,"11/17/2000","How the Grinch Stole Christmas",123000000,260044825,345141403,"Universal","PG","Adventure"
136,"5/24/2000","Mission: Impossible 2",120000000,215409889,549588516,"Paramount Pictures","PG-13","Action"
137,"6/30/2000","The Perfect Storm",120000000,182618434,328711434,"Warner Bros.","PG-13","Drama"
138,"7/29/2016","Jason Bourne",120000000,162192920,416197059,"Universal","PG-13","Action"
139,"11/21/2012","Life of Pi",120000000,124987022,607258634,"20th Century Fox","PG","Drama"
140,"2/16/2007","Ghost Rider",120000000,115802596,229545589,"Sony Pictures","PG-13","Action"
141,"6/27/2003","Charlie's Angels: Full Throttle",120000000,100814328,227200000,"Sony Pictures","PG-13","Action"
142,"4/13/2018","Rampage",120000000,99345950,424745950,"Warner Bros.","PG-13","Action"
143,"8/9/2013","Elysium",120000000,93050117,286192091,"Sony Pictures","R","Action"
144,"3/24/2017","Power Rangers",120000000,85364450,142545357,"Lionsgate","PG-13","Action"
145,"7/19/2002","Stuart Little 2",120000000,64956806,166000000,"Sony Pictures","PG","Adventure"
146,"6/11/2004","The Chronicles of Riddick",120000000,57712751,107212751,"Universal","PG-13","Adventure"
147,"5/9/2008","Speed Racer",120000000,43945766,93394462,"Warner Bros.","PG","Action"
148,"7/22/2005","The Island",120000000,35818913,163018913,"Dreamworks SKG","PG-13","Action"
149,"6/23/2010","Knight and Day",117000000,76423035,258751370,"20th Century Fox","PG-13","Action"
150,"5/19/1999","Star Wars Ep. I: The Phantom Menace",115000000,474544677,1027044677,"20th Century Fox","PG","Adventure"
151,"11/2/2001","Monsters, Inc.",115000000,289423425,559757719,"Walt Disney","G","Adventure"
152,"7/26/2013","The Wolverine",115000000,132556852,416456852,"20th Century Fox","PG-13","Action"
153,"2/7/1997","Dante's Peak",115000000,67163857,178200000,"Universal","PG-13","Drama"
154,"4/22/2016","The Huntsman: Winter’s War",115000000,48003015,165149302,"Universal","PG-13","Action"
155,"6/14/2002","Windtalkers",115000000,40914068,77628265,"MGM","R","Action"
156,"12/25/2010","Gulliver's Travels",112000000,42779261,232017848,"20th Century Fox","PG","Adventure"
157,"12/15/2017","Ferdinand",111000000,84410380,289867087,"20th Century Fox","PG","Adventure"
158,"5/18/2018","Deadpool 2",110000000,318491426,733809601,"20th Century Fox","R","Action"
159,"12/22/2006","Night at the Museum",110000000,250863268,579446407,"20th Century Fox","PG","Adventure"
160,"6/10/2005","Mr. and Mrs. Smith",110000000,186336279,486124090,"20th Century Fox","PG-13","Action"
161,"5/29/2015","San Andreas",110000000,155190832,457199280,"Warner Bros.","PG-13","Adventure"
162,"7/29/2011","The Smurfs",110000000,142614158,563749323,"Sony Pictures","PG","Adventure"
163,"6/27/2007","Live Free or Die Hard",110000000,134529403,382288147,"20th Century Fox","PG-13","Action"
164,"3/20/2015","The Divergent Series: Insurgent",110000000,130179072,295075882,"Lionsgate","PG-13","Action"
165,"12/10/2004","Ocean's Twelve",110000000,125531634,362989076,"Warner Bros.","PG-13","Adventure"
166,"12/19/1997","Tomorrow Never Dies",110000000,125304276,339504276,"MGM","PG-13","Action"
167,"6/28/2000","The Patriot",110000000,113330342,215300000,"Sony Pictures","R","Drama"
168,"3/7/2014","300: Rise of an Empire",110000000,106580051,330780051,"Warner Bros.","R","Action"
169,"1/14/2011","The Green Hornet",110000000,98780042,229155503,"Sony Pictures","PG-13","Action"
170,"10/7/2011","Real Steel",110000000,85463309,263880341,"Walt Disney","PG-13","Action"
171,"6/11/2010","The A-Team",110000000,77222099,177241171,"20th Century Fox","PG-13","Action"
172,"7/31/2013","The Smurfs 2",110000000,71017784,348547523,"Sony Pictures","PG","Adventure"
173,"3/18/2016","The Divergent Series: Allegiant",110000000,66184051,171871661,"Lionsgate","PG-13","Action"
174,"6/12/2009","The Taking of Pelham 123",110000000,65452312,152364370,"Sony Pictures","R","Action"
175,"11/1/2013","Ender's Game",110000000,61737191,127983283,"Lionsgate","PG-13","Adventure"
176,"4/2/2004","Home on the Range",110000000,50026353,76482461,"Walt Disney","PG","Adventure"
177,"6/13/1997","Speed 2: Cruise Control",110000000,48097081,150468000,"20th Century Fox","PG-13","Action"
178,"5/6/2005","Kingdom of Heaven",110000000,47398413,218853353,"20th Century Fox","R","Adventure"
179,"3/31/2017","Ghost in the Shell",110000000,40563557,167918847,"Paramount Pictures","PG-13","Action"
180,"11/21/2003","The Cat in the Hat",109000000,101018283,133818283,"Universal","PG","Adventure"
181,"12/25/2001","Ali",109000000,58183966,87683966,"Sony Pictures","R","Drama"
182,"11/23/2016","Allied",106000000,40098064,119285656,"Paramount Pictures","R","Drama"
183,"7/16/2004","I, Robot",105000000,144801023,348629585,"20th Century Fox","PG-13","Action"
184,"12/17/1999","Stuart Little",105000000,140015224,298815224,"Sony Pictures","PG","Adventure"
185,"11/25/2009","The Princess and the Frog",105000000,104400899,270997378,"Walt Disney","G","Adventure"
186,"3/7/2008","10,000 B.C.",105000000,94784201,269065678,"Warner Bros.","PG-13","Adventure"
187,"7/22/2016","Ice Age: Collision Course",105000000,64063008,403092412,"20th Century Fox","PG","Adventure"
188,"9/22/2017","Kingsman: The Golden Circle",104000000,100234838,408822328,"20th Century Fox","R","Action"
189,"6/9/2000","Gone in 60 Seconds",103300000,101643008,232643008,"Walt Disney","PG-13","Action"
190,"5/23/2013","The Hangover 3",103000000,112200072,362000072,"Warner Bros.","R","Comedy"
191,"3/9/2018","A Wrinkle in Time",103000000,100478608,133401882,"Walt Disney","PG","Adventure"
192,"7/1/2009","Public Enemies",102500000,97104620,212282709,"Universal","R","Drama"
193,"11/17/2006","Casino Royale",102000000,167365000,594420283,"Sony Pictures","PG-13","Action"
194,"6/21/2002","Minority Report",102000000,132024714,358824714,"20th Century Fox","PG-13","Action"
195,"10/26/2012","Cloud Atlas",102000000,27108272,130673154,"Warner Bros.","R","Drama"
196,"7/2/1991","Terminator 2: Judgment Day",100000000,203464105,515419827,"Sony Pictures","R","Action"
197,"6/16/1995","Batman Forever",100000000,184031112,336529144,"Warner Bros.","PG-13","Action"
198,"7/27/2001","Planet of the Apes",100000000,180011740,362211740,"20th Century Fox","PG-13","Adventure"
199,"11/19/2004","National Treasure",100000000,173005002,331323410,"Walt Disney","PG","Adventure"
200,"10/5/2018","Venom",100000000,171125095,461825095,"Sony Pictures","PG-13","Action"
201,"12/22/2010","Little Fockers",100000000,148438600,310650574,"Universal","PG-13","Comedy"
202,"7/15/1994","True Lies",100000000,146282411,365300000,"20th Century Fox","R","Action"
203,"11/2/2007","American Gangster",100000000,130164645,267985456,"Universal","R","Drama"
204,"9/18/2009","Cloudy with a Chance of Meatballs",100000000,124870275,236827677,"Sony Pictures","PG","Adventure"
205,"8/6/2010","The Other Guys",100000000,119219978,170936470,"Sony Pictures","PG-13","Comedy"
206,"5/24/2013","Epic",100000000,107518682,262794441,"20th Century Fox","PG","Adventure"
207,"6/21/1996","Eraser",100000000,101295562,234400000,"Warner Bros.","R","Action"
208,"6/21/1996","The Hunchback of Notre Dame",100000000,100138851,325500000,"Walt Disney","G","Adventure"
209,"12/15/2000","The Emperor's New Groove",100000000,89296573,169296573,"Walt Disney","G","Adventure"
210,"8/17/2012","The Expendables 2",100000000,85028192,311979256,"Lionsgate","R","Action"
211,"10/16/2009","Where the Wild Things Are",100000000,77233467,99123656,"Warner Bros.","PG","Adventure"
212,"12/15/2006","Eragon",100000000,75030163,249488115,"20th Century Fox","PG","Adventure"
213,"7/25/2014","Hercules",100000000,72688614,243388614,"Paramount Pictures","PG-13","Action"
214,"11/24/1999","End of Days",100000000,66889043,212026975,"Universal","R","Action"
215,"6/11/2004","The Stepford Wives",100000000,59475623,96221971,"Paramount Pictures","PG-13","Comedy"
216,"6/8/2007","Surf's Up",100000000,58867694,145395745,"Sony Pictures","PG","Adventure"
217,"12/8/2006","Blood Diamond",100000000,57377916,171377916,"Warner Bros.","R","Action"
218,"11/7/1997","Starship Troopers",100000000,54768952,121100000,"Sony Pictures","R","Action"
219,"6/5/2009","Land of the Lost",100000000,49438370,69548641,"Universal","PG-13","Comedy"
220,"7/23/2004","Catwoman",100000000,40202379,82145379,"Warner Bros.","PG-13","Action"
221,"8/15/2014","The Expendables 3",100000000,39322544,209461378,"Lionsgate","PG-13","Action"
222,"11/27/2002","Treasure Planet",100000000,38120554,91800000,"Walt Disney","PG","Adventure"
223,"3/12/2010","Green Zone",100000000,35497337,97523020,"Universal","R","Drama"
224,"10/20/2017","Geostorm",100000000,33700160,220800160,"Warner Bros.","PG-13","Action"
225,"12/11/2015","In the Heart of the Sea",100000000,25020758,89693309,"Warner Bros.","PG-13","Adventure"
226,"2/18/2005","Son of the Mask",100000000,17018422,59918422,"New Line","PG","Adventure"
227,"8/16/2002","The Adventures of Pluto Nash",100000000,4411102,7094995,"Warner Bros.","PG-13","Comedy"
228,"1/20/2012","Jin líng shí san chai",100000000,311434,98227017,"Wrekin Hill Enterta…","R","Drama"
229,"3/15/2019","Wonder Park",100000000,0,0,"Paramount Pictures","PG","Adventure"
230,"11/6/2015","The Peanuts Movie",99000000,130178411,250091610,"20th Century Fox","G","Adventure"
231,"5/4/2001","The Mummy Returns",98000000,202007640,435040395,"Universal","PG-13","Adventure"
232,"12/20/2002","Gangs of New York",97000000,77730500,183124621,"Miramax","R","Drama"
233,"5/19/2017","Alien: Covenant",97000000,74262031,238521247,"20th Century Fox","R","Horror"
234,"3/13/2015","Cinderella",95000000,201151353,534551353,"Walt Disney","PG","Drama"
235,"7/13/2012","Ice Age: Continental Drift",95000000,161321843,879765137,"20th Century Fox","PG","Adventure"
236,"12/28/2001","Black Hawk Down",95000000,108638745,159691085,"Sony Pictures","R","Action"
237,"5/27/2010","Sex and the City 2",95000000,95347692,294680778,"Warner Bros.","R","Comedy"
238,"8/10/2012","The Campaign",95000000,86907746,104907746,"Warner Bros.","R","Comedy"
239,"11/12/2010","Unstoppable",95000000,81562942,165720921,"20th Century Fox","PG-13","Action"
240,"5/9/1997","The Fifth Element",95000000,63570862,263898761,"Sony Pictures","PG-13","Action"
241,"3/31/2000","The Road to El Dorado",95000000,50802661,65700000,"Dreamworks SKG","PG","Adventure"
242,"12/11/2009","The Lovely Bones",95000000,44114232,94894448,"Paramount Pictures","PG-13","Drama"
243,"2/6/2015","Seventh Son",95000000,17725785,109485785,"Universal","PG-13","Adventure"
244,"5/30/2003","Finding Nemo",94000000,380529370,936429370,"Walt Disney","G","Adventure"
245,"6/15/2001","Lara Croft: Tomb Raider",94000000,131144183,273330185,"Paramount Pictures","PG-13","Adventure"
246,"2/13/2015","Kingsman: The Secret Service",94000000,128261724,404561724,"20th Century Fox","R","Action"
247,"7/18/2001","Jurassic Park III",93000000,181166115,365900000,"Universal","PG-13","Action"
248,"8/5/2011","Rise of the Planet of the Apes",93000000,176760185,482860185,"20th Century Fox","PG-13","Adventure"
249,"2/14/2008","The Spiderwick Chronicles",92500000,71195053,162839667,"Paramount Pictures","PG","Adventure"
250,"11/5/2004","The Incredibles",92000000,261441092,614726752,"Walt Disney","PG","Adventure"
251,"2/14/2013","A Good Day to Die Hard",92000000,67349198,304249198,"20th Century Fox","R","Action"
252,"12/22/1995","Cutthroat Island",92000000,10017322,18517322,"MGM","PG-13","Adventure"
253,"12/25/2013","The Secret Life of Walter Mitty",91000000,58236838,187861183,"20th Century Fox","PG","Adventure"
254,"12/20/2017","Jumanji: Welcome to the Jungle",90000000,404508916,961758540,"Sony Pictures","PG-13","Adventure"
255,"7/1/1997","Men in Black",90000000,250690539,587790539,"Sony Pictures","PG-13","Adventure"
256,"11/19/1999","Toy Story 2",90000000,245852179,511358276,"Walt Disney","G","Adventure"
257,"8/3/2001","Rush Hour 2",90000000,226164286,347425832,"New Line","PG-13","Action"
258,"12/25/2009","Sherlock Holmes",90000000,209028679,498438212,"Warner Bros.","PG-13","Adventure"
259,"7/1/2009","Ice Age: Dawn of the Dinosaurs",90000000,196573705,859701857,"20th Century Fox","PG","Adventure"
260,"4/15/2011","Rio",90000000,143619809,487519809,"20th Century Fox","G","Adventure"
261,"10/6/2006","The Departed",90000000,132384315,289660619,"Warner Bros.","R","Drama"
262,"11/3/2000","Charlie's Angels",90000000,125305545,259736090,"Sony Pictures","PG-13","Action"
263,"6/19/1998","Mulan",90000000,120620254,303500000,"Walt Disney","G","Adventure"
264,"8/13/2008","Tropic Thunder",90000000,110515313,191145256,"Paramount Pictures","R","Comedy"
265,"7/11/1997","Contact",90000000,100920329,165900000,"Warner Bros.","PG","Drama"
266,"6/6/2008","You Don't Mess With the Zohan",90000000,100018837,202910991,"Sony Pictures","PG-13","Comedy"
267,"5/19/1995","Die Hard: With a Vengeance",90000000,100012499,366101666,"20th Century Fox","R","Action"
268,"6/8/2001","Atlantis: The Lost Empire",90000000,84052762,186049020,"Walt Disney","PG","Adventure"
269,"7/24/2015","Pixels",90000000,78765986,244041804,"Sony Pictures","PG-13","Adventure"
270,"6/29/2001","Artificial Intelligence: AI",90000000,78616689,235900000,"Warner Bros.","PG-13","Drama"
271,"11/26/2003","The Haunted Mansion",90000000,75817994,155750628,"Walt Disney","PG","Adventure"
272,"8/4/2000","Hollow Man",90000000,73209340,191200000,"Sony Pictures","R","Horror"
273,"8/7/2013","Percy Jackson: Sea of Monsters",90000000,68559554,200859554,"20th Century Fox","PG","Adventure"
274,"11/21/2001","Spy Game",90000000,62362560,143049560,"Universal","R","Action"
275,"4/4/1997","The Saint",90000000,61363304,169400000,"Paramount Pictures","PG-13","Action"
276,"3/10/2000","Mission to Mars",90000000,60874615,106000000,"Walt Disney","PG","Adventure"
277,"12/17/1999","Bicentennial Man",90000000,58220776,87420776,"Walt Disney","PG","Drama"
278,"3/16/2018","Tomb Raider",90000000,57421715,272648985,"Warner Bros.","PG-13","Action"
279,"7/7/2004","King Arthur",90000000,51877963,203877963,"Walt Disney","PG-13","Adventure"
280,"4/25/1997","Volcano",90000000,47546796,120100000,"20th Century Fox","PG-13","Action"
281,"7/19/2002","K-19: The Widowmaker",90000000,35168966,65716126,"Paramount Pictures","PG-13","Action"
282,"4/21/2017","The Promise",90000000,8224288,10551417,"Open Road","PG-13","Drama"
283,"5/10/1996","Twister",88000000,241688385,495700000,"Warner Bros.","PG-13","Action"
284,"6/3/2005","Cinderella Man",88000000,61649911,105021488,"Universal","PG-13","Drama"
285,"9/14/2018","The Predator",88000000,50787159,127987159,"20th Century Fox","R","Action"
286,"7/8/2005","Fantastic Four",87500000,154696080,333132750,"20th Century Fox","PG-13","Action"
287,"2/9/2001","Hannibal",87000000,165092266,350100280,"MGM","R","Horror"
288,"7/25/2003","Seabiscuit",86000000,120277854,148715342,"Universal","PG-13","Drama"
289,"12/22/2000","Cast Away",85000000,233632142,427230516,"20th Century Fox","PG-13","Drama"
290,"11/17/2006","Happy Feet",85000000,198000317,385000317,"Warner Bros.","PG","Adventure"
